Feature,Mean Importance
volume_t-45,6.095724819172264e-06
volume_t-51,6.083709182965518e-06
volume_t-1,6.052080341473519e-06
volume_t-32,6.023623365519704e-06
volume_t-7,5.935170246595833e-06
volume_t-50,5.906691469379575e-06
volume_t-58,5.829904977249962e-06
volume_t-16,5.783744299484261e-06
volume_t-55,5.677320934948471e-06
volume_t-43,5.6241960353979534e-06
volume_t-56,5.608074024087673e-06
volume_t-22,5.597729911609159e-06
volume_t-8,5.596118294855759e-06
volume_t-46,5.586294189027408e-06
volume_t-25,5.559205348993966e-06
volume_t-52,5.5471174484065915e-06
volume_t-57,5.506710417048553e-06
volume_t-36,5.464703947747445e-06
volume_t-24,5.461660381164608e-06
volume_t-39,5.447698731769472e-06
volume_t-9,5.392259818638966e-06
volume_t-44,5.389795329429928e-06
volume_t-5,5.384936832180214e-06
volume_t-15,5.350769201015388e-06
volume_t-41,5.328731724264816e-06
volume_t-12,5.3241343093206835e-06
volume_t-40,5.322416551407209e-06
volume_t-27,5.302210524507345e-06
volume_t-18,5.283539466908617e-06
volume_t-4,5.248636611544583e-06
volume_t-30,5.245777485624715e-06
volume_t-37,5.224778779894948e-06
volume_t-2,5.220377088224543e-06
volume_t-19,5.191969933110018e-06
volume_t-6,5.083828487157416e-06
volume_t-13,5.073523684683857e-06
volume_t-54,5.018333734462952e-06
volume_t-34,5.007284950121782e-06
volume_t-21,4.993585232795005e-06
volume_t-48,4.86486845836621e-06
volume_t-53,4.801787761340574e-06
volume_t-35,4.7934054684869885e-06
volume_t-23,4.777851452955955e-06
volume_t-29,4.775473663725202e-06
volume_t-26,4.771608824074943e-06
volume_t-20,4.757681439572822e-06
volume_t-14,4.749980796224172e-06
volume_t-10,4.7489229601263085e-06
volume_t-28,4.656543749631016e-06
volume_t-3,4.603350954693523e-06
volume_t-47,4.5827441006481814e-06
volume_t-49,4.46947467991769e-06
volume_t-38,4.452422852707152e-06
volume_t-11,4.4341922544657215e-06
