2025-05-01 01:23:38,292 - MainProcess - INFO - Finished epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.001621
2025-05-01 01:23:38,292 - MainProcess - INFO - Starting epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:23:39,559 - MainProcess - INFO - Finished epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.001051
2025-05-01 01:23:39,574 - MainProcess - INFO - Finished epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.001224
2025-05-01 01:23:46,610 - MainProcess - INFO - Starting epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:23:46,800 - MainProcess - INFO - Starting epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:23:50,710 - MainProcess - INFO - Finished epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.016551
2025-05-01 01:23:50,711 - MainProcess - INFO - Starting epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:23:50,711 - MainProcess - INFO - Finished epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.211047
2025-05-01 01:23:50,712 - MainProcess - INFO - Starting epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:23:52,130 - MainProcess - INFO - Finished epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.004551
2025-05-01 01:23:52,130 - MainProcess - INFO - Finished epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.028768
2025-05-01 01:23:52,131 - MainProcess - INFO - Starting epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:23:52,131 - MainProcess - INFO - Starting epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:23:53,518 - MainProcess - INFO - Finished epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.007478
2025-05-01 01:23:53,519 - MainProcess - INFO - Finished epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.015465
2025-05-01 01:23:53,519 - MainProcess - INFO - Starting epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:23:53,520 - MainProcess - INFO - Starting epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:23:54,910 - MainProcess - INFO - Finished epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.008220
2025-05-01 01:23:54,911 - MainProcess - INFO - Starting epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:23:54,921 - MainProcess - INFO - Finished epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.010210
2025-05-01 01:23:54,922 - MainProcess - INFO - Starting epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:23:56,296 - MainProcess - INFO - Finished epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.004659
2025-05-01 01:23:56,298 - MainProcess - INFO - Finished epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.005856
2025-05-01 01:24:02,973 - MainProcess - INFO - Starting epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:24:02,980 - MainProcess - INFO - Starting epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:24:06,987 - MainProcess - INFO - Finished epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.078057
2025-05-01 01:24:06,988 - MainProcess - INFO - Starting epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:24:07,033 - MainProcess - INFO - Finished epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.189868
2025-05-01 01:24:07,034 - MainProcess - INFO - Starting epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:24:08,411 - MainProcess - INFO - Finished epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.015379
2025-05-01 01:24:08,412 - MainProcess - INFO - Starting epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:24:08,482 - MainProcess - INFO - Finished epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.067603
2025-05-01 01:24:08,483 - MainProcess - INFO - Starting epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:24:09,792 - MainProcess - INFO - Finished epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.012568
2025-05-01 01:24:09,793 - MainProcess - INFO - Starting epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:24:09,921 - MainProcess - INFO - Finished epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.031584
2025-05-01 01:24:09,922 - MainProcess - INFO - Starting epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:24:11,200 - MainProcess - INFO - Finished epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.009476
2025-05-01 01:24:11,201 - MainProcess - INFO - Starting epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:24:11,347 - MainProcess - INFO - Finished epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.019913
2025-05-01 01:24:11,348 - MainProcess - INFO - Starting epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:24:12,610 - MainProcess - INFO - Finished epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.006665
2025-05-01 01:24:12,797 - MainProcess - INFO - Finished epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.013823
2025-05-01 01:24:17,171 - MainProcess - INFO - Starting epoch 1 for NVDA (Hyperparameter Set 1, initial training)
2025-05-01 01:24:17,899 - MainProcess - INFO - Starting epoch 1 for AMZN (Hyperparameter Set 1, initial training)
2025-05-01 01:24:21,005 - MainProcess - INFO - Finished epoch 1 for NVDA (Hyperparameter Set 1, initial training) - Loss: 0.023684
2025-05-01 01:24:21,006 - MainProcess - INFO - Starting epoch 2 for NVDA (Hyperparameter Set 1, initial training)
2025-05-01 01:24:21,171 - MainProcess - INFO - Finished epoch 1 for AMZN (Hyperparameter Set 1, initial training) - Loss: 0.011249
2025-05-01 01:24:21,172 - MainProcess - INFO - Starting epoch 2 for AMZN (Hyperparameter Set 1, initial training)
2025-05-01 01:24:22,295 - MainProcess - INFO - Finished epoch 2 for NVDA (Hyperparameter Set 1, initial training) - Loss: 0.003913
2025-05-01 01:24:22,296 - MainProcess - INFO - Starting epoch 3 for NVDA (Hyperparameter Set 1, initial training)
2025-05-01 01:24:22,381 - MainProcess - INFO - Finished epoch 2 for AMZN (Hyperparameter Set 1, initial training) - Loss: 0.003861
2025-05-01 01:24:22,382 - MainProcess - INFO - Starting epoch 3 for AMZN (Hyperparameter Set 1, initial training)
2025-05-01 01:24:23,460 - MainProcess - INFO - Finished epoch 3 for NVDA (Hyperparameter Set 1, initial training) - Loss: 0.000912
2025-05-01 01:24:23,461 - MainProcess - INFO - Starting epoch 4 for NVDA (Hyperparameter Set 1, initial training)
2025-05-01 01:24:23,589 - MainProcess - INFO - Finished epoch 3 for AMZN (Hyperparameter Set 1, initial training) - Loss: 0.001871
2025-05-01 01:24:23,591 - MainProcess - INFO - Starting epoch 4 for AMZN (Hyperparameter Set 1, initial training)
2025-05-01 01:24:24,681 - MainProcess - INFO - Finished epoch 4 for NVDA (Hyperparameter Set 1, initial training) - Loss: 0.000721
2025-05-01 01:24:24,682 - MainProcess - INFO - Starting epoch 5 for NVDA (Hyperparameter Set 1, initial training)
2025-05-01 01:24:24,809 - MainProcess - INFO - Finished epoch 4 for AMZN (Hyperparameter Set 1, initial training) - Loss: 0.001622
2025-05-01 01:24:24,810 - MainProcess - INFO - Starting epoch 5 for AMZN (Hyperparameter Set 1, initial training)
2025-05-01 01:24:25,858 - MainProcess - INFO - Finished epoch 5 for NVDA (Hyperparameter Set 1, initial training) - Loss: 0.000491
2025-05-01 01:24:26,244 - MainProcess - INFO - Finished epoch 5 for AMZN (Hyperparameter Set 1, initial training) - Loss: 0.000582
2025-05-01 01:24:33,693 - MainProcess - INFO - Starting epoch 1 for NVDA (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:24:33,976 - MainProcess - INFO - Starting epoch 1 for AMZN (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:24:37,433 - MainProcess - INFO - Finished epoch 1 for NVDA (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.147322
2025-05-01 01:24:37,434 - MainProcess - INFO - Starting epoch 2 for NVDA (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:24:37,572 - MainProcess - INFO - Finished epoch 1 for AMZN (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.026547
2025-05-01 01:24:37,573 - MainProcess - INFO - Starting epoch 2 for AMZN (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:24:38,771 - MainProcess - INFO - Finished epoch 2 for NVDA (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.005217
2025-05-01 01:24:38,771 - MainProcess - INFO - Starting epoch 3 for NVDA (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:24:38,823 - MainProcess - INFO - Finished epoch 2 for AMZN (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.008327
2025-05-01 01:24:38,824 - MainProcess - INFO - Starting epoch 3 for AMZN (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:24:40,035 - MainProcess - INFO - Finished epoch 3 for NVDA (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.003925
2025-05-01 01:24:40,036 - MainProcess - INFO - Starting epoch 4 for NVDA (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:24:40,074 - MainProcess - INFO - Finished epoch 3 for AMZN (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.006555
2025-05-01 01:24:40,075 - MainProcess - INFO - Starting epoch 4 for AMZN (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:24:41,256 - MainProcess - INFO - Finished epoch 4 for NVDA (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.001912
2025-05-01 01:24:41,257 - MainProcess - INFO - Starting epoch 5 for NVDA (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:24:41,313 - MainProcess - INFO - Finished epoch 4 for AMZN (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.002321
2025-05-01 01:24:41,314 - MainProcess - INFO - Starting epoch 5 for AMZN (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:24:42,509 - MainProcess - INFO - Finished epoch 5 for NVDA (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.001152
2025-05-01 01:24:42,556 - MainProcess - INFO - Finished epoch 5 for AMZN (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.002678
2025-05-01 01:24:50,413 - MainProcess - INFO - Starting epoch 1 for NVDA (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:24:50,614 - MainProcess - INFO - Starting epoch 1 for AMZN (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:24:54,247 - MainProcess - INFO - Finished epoch 1 for NVDA (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.237329
2025-05-01 01:24:54,247 - MainProcess - INFO - Starting epoch 2 for NVDA (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:24:54,287 - MainProcess - INFO - Finished epoch 1 for AMZN (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.389237
2025-05-01 01:24:54,288 - MainProcess - INFO - Starting epoch 2 for AMZN (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:24:55,569 - MainProcess - INFO - Finished epoch 2 for NVDA (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.031572
2025-05-01 01:24:55,571 - MainProcess - INFO - Starting epoch 3 for NVDA (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:24:55,605 - MainProcess - INFO - Finished epoch 2 for AMZN (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.018236
2025-05-01 01:24:55,606 - MainProcess - INFO - Starting epoch 3 for AMZN (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:24:56,889 - MainProcess - INFO - Finished epoch 3 for NVDA (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.010275
2025-05-01 01:24:56,890 - MainProcess - INFO - Starting epoch 4 for NVDA (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:24:56,910 - MainProcess - INFO - Finished epoch 3 for AMZN (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.008069
2025-05-01 01:24:56,911 - MainProcess - INFO - Starting epoch 4 for AMZN (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:24:58,192 - MainProcess - INFO - Finished epoch 4 for NVDA (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.007623
2025-05-01 01:24:58,193 - MainProcess - INFO - Starting epoch 5 for NVDA (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:24:58,228 - MainProcess - INFO - Finished epoch 4 for AMZN (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.009794
2025-05-01 01:24:58,229 - MainProcess - INFO - Starting epoch 5 for AMZN (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:24:59,469 - MainProcess - INFO - Finished epoch 5 for NVDA (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.004656
2025-05-01 01:24:59,490 - MainProcess - INFO - Finished epoch 5 for AMZN (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.004743
2025-05-01 01:25:05,598 - MainProcess - INFO - Starting epoch 1 for NVDA (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:25:05,785 - MainProcess - INFO - Starting epoch 1 for AMZN (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:25:09,503 - MainProcess - INFO - Finished epoch 1 for NVDA (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.068971
2025-05-01 01:25:09,503 - MainProcess - INFO - Starting epoch 2 for NVDA (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:25:09,603 - MainProcess - INFO - Finished epoch 1 for AMZN (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.386712
2025-05-01 01:25:09,604 - MainProcess - INFO - Starting epoch 2 for AMZN (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:25:10,876 - MainProcess - INFO - Finished epoch 2 for NVDA (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.012285
2025-05-01 01:25:10,877 - MainProcess - INFO - Starting epoch 3 for NVDA (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:25:10,981 - MainProcess - INFO - Finished epoch 2 for AMZN (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.116282
2025-05-01 01:25:10,982 - MainProcess - INFO - Starting epoch 3 for AMZN (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:25:12,198 - MainProcess - INFO - Finished epoch 3 for NVDA (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.003527
2025-05-01 01:25:12,199 - MainProcess - INFO - Starting epoch 4 for NVDA (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:25:12,330 - MainProcess - INFO - Finished epoch 3 for AMZN (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.031619
2025-05-01 01:25:12,331 - MainProcess - INFO - Starting epoch 4 for AMZN (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:25:13,494 - MainProcess - INFO - Finished epoch 4 for NVDA (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.001976
2025-05-01 01:25:13,495 - MainProcess - INFO - Starting epoch 5 for NVDA (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:25:13,657 - MainProcess - INFO - Finished epoch 4 for AMZN (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.002113
2025-05-01 01:25:13,658 - MainProcess - INFO - Starting epoch 5 for AMZN (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:25:14,827 - MainProcess - INFO - Finished epoch 5 for NVDA (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.000991
2025-05-01 01:25:14,969 - MainProcess - INFO - Finished epoch 5 for AMZN (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.001406
2025-05-01 01:25:20,792 - MainProcess - INFO - Starting epoch 1 for NVDA (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:25:21,111 - MainProcess - INFO - Starting epoch 1 for AMZN (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:25:25,978 - MainProcess - INFO - Finished epoch 1 for AMZN (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.048801
2025-05-01 01:25:25,979 - MainProcess - INFO - Starting epoch 2 for AMZN (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:25:26,107 - MainProcess - INFO - Finished epoch 1 for NVDA (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.012942
2025-05-01 01:25:26,108 - MainProcess - INFO - Starting epoch 2 for NVDA (Hyperparameter Set 1, walk-forward step 800)
